name,state,dealer_code,phone,lat,lng
Bmw Of Anchorage,AK,28786,(877) 583-5028,61.1509,-149.8679
BMW of Montgomery,AL,29187,(800) 996-9705,32.366806,-86.299969
BMW of Birmingham,AL,21851,(866) 655-1204,33.518589,-86.810356
Century BMW,AL,86773,(256) 536-3800,34.738228,-86.601791
BMW of Tuscaloosa,AL,44780,(205) 345-9811,33.169079,-87.490982
BMW of Mobile,AL,34537,(251) 476-2550,30.695366,-88.039894
BMW of Little Rock,AR,44821,(501) 224-3200,34.744461,-92.411285
BMW of Northwest Arkansas,AR,31833,(888) 571-7341,36.30611,-94.180199
BMW Tucson,AZ,32082,(520) 549-2167,32.131981,-110.955528
Chapman BMW,AZ,10729,(480) 344-4269,33.430981,-111.939392
Chapman BMW On Camelback,AZ,10729,(602) 308-4269,33.508598,-112.043877
Arrowhead BMW,AZ,46886,(833) 700-1269,33.665199,-112.186829
BMW North Scottsdale,AZ,20741,(877) 705-3224,33.640869,-111.926041
Irvine BMW,CA,21188,(949) 649-8787,33.662874,-117.749196
BMW of Ontario,CA,34821,(909) 390-7888,34.06077,-117.552176
BMW of Riverside,CA,40335,(951) 373-5000,33.948207,-117.396355
BMW Encinitas,CA,30956,(760) 753-6301,33.053174,-117.262601
BMW of Vista,CA,44610,(760) 305-5770,33.179291,-117.239685
BMW of San Diego,CA,24335,(858) 560-5050,32.824873,-117.155638
BMW of Murrieta,CA,35744,(951) 249-8000,33.561991,-117.174239
BMW of Escondido,CA,51458,(760) 745-3000,33.131759,-117.090637
BMW of El Cajon,CA,32467,(619) 442-8888,32.79406,-116.962196
BMW of Palm Springs,CA,44427,(760) 324-7071,33.830296,-116.546806
BMW of Humboldt Bay,CA,29869,(707) 839-4269,40.86692,-124.082603
BMW of Visalia,CA,86335,(559) 732-4700,36.327007,-119.29203
BMW Concord,CA,4497,(925) 682-3577,37.972694,-122.056404
Hansel BMW of Santa Rosa,CA,23779,(707) 578-4717,38.46487,-122.730026
Valley BMW,CA,21616,(209) 575-0269,37.687,-121.011398
Niello BMW Elk Grove,CA,4618,(916) 687-9000,38.4034,-121.38237
Crevier BMW,CA,36721,(657) 231-5040,33.705776,-117.865822
Niello BMW Sacramento,CA,4618,(916) 486-1011,38.602985,-121.437782
BMW of Roseville,CA,4923,(916) 790-1990,38.7523,-121.254997
BMW of Chico,CA,42367,(530) 893-1300,39.731789,-121.822998
BMW Fresno,CA,39315,(559) 447-6700,36.850708,-119.787659
Sterling BMW,CA,86513,(949) 645-5900,33.617321,-117.908333
BMW of Fairfield,CA,47859,(707) 402-1599,38.259079,-122.060402
BMW of Monrovia,CA,31642,(626) 358-4269,34.14455,-118.001663
Valencia BMW,CA,22180,(661) 254-8000,34.404621,-118.55687
Bob Smith BMW,CA,4637,(818) 346-3144,34.20414,-118.6054
Rusnak BMW,CA,86846,(805) 496-6500,34.1712,-118.8367
Steve Thomas BMW,CA,17990,(805) 482-8878,34.21954,-119.059364
BMW of Bakersfield,CA,24781,(661) 396-4040,35.340881,-119.061218
BMW Santa Barbara,CA,26718,(805) 682-2000,34.43774,-119.80098
BMW of Santa Maria,CA,65734,(805) 614-0306,34.951759,-120.419983
BMW of San Luis Obispo,CA,22820,(805) 543-4423,35.279598,-120.663002
Santa Monica BMW,CA,4660,(310) 829-3535,34.02977,-118.4748
BMW of San Francisco,CA,49544,(415) 551-2639,37.775101,-122.4039
East Bay BMW,CA,10731,(888) 593-7018,37.84026,-122.293053
BMW of Buena Park,CA,47046,(714) 598-3738,33.86853,-117.99868
BMW of Fremont,CA,24856,(510) 224-4820,37.510601,-121.982201
BMW of Mountain View,CA,21618,(650) 943-1000,37.40374,-122.1166
Peter Pan BMW,CA,32652,(650) 349-9077,37.560471,-122.267128
Weatherford BMW,CA,4514,(510) 654-8280,37.85973,-122.289009
BMW of San Rafael,CA,42869,(415) 482-2000,37.98241,-122.531578
Stevens Creek BMW,CA,22083,(408) 249-9070,37.323101,-121.957497
BMW of Sherman Oaks,CA,47724,(818) 907-9995,34.154159,-118.448273
BMW of Monterey,CA,30822,(866) 299-5459,36.586201,-121.877998
Century West BMW,CA,20268,(818) 432-5800,34.163021,-118.370132
McKenna BMW,CA,96733,(562) 868-3233,33.91869,-118.06852
New Century BMW,CA,17966,(626) 570-8444,34.067501,-118.084396
Long Beach BMW,CA,31643,(562) 427-5494,33.83279,-118.188057
Nick Alexander Imports,CA,4942,(323) 583-1901,34.00787,-118.211769
BMW of San Francisco,CA,49544,(628) 221-7930,37.775101,-122.4039
Beverly Hills BMW,CA,21390,(310) 358-7800,34.06654,-118.379372
Pacific BMW,CA,76837,(818) 246-5600,34.152901,-118.2547
South Bay BMW,CA,41903,(310) 939-7300,33.86459,-118.396149
Winslow BMW of Colorado Springs,CO,16418,(719) 473-1373,38.83398,-104.821365
